Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.01,0.01,0.3208524719485749
100% Corpus,8,0.01,0.31,0.3450842331084262
100% Corpus,8,0.01,0.61,0.3783848118619904
100% Corpus,8,0.01,0.9099999999999999,0.35431043124311723
100% Corpus,8,0.01,symmetric,0.35808045597394167
100% Corpus,8,0.31,0.01,0.35173508492268757
100% Corpus,8,0.31,0.31,0.3209478390606708
100% Corpus,8,0.31,0.61,0.3301249359790501
100% Corpus,8,0.31,0.9099999999999999,0.34544799016864286
100% Corpus,8,0.31,symmetric,0.3713907073335911
100% Corpus,8,0.61,0.01,0.32299179926473304
100% Corpus,8,0.61,0.31,0.3276661296178772
100% Corpus,8,0.61,0.61,0.33863872978426424
100% Corpus,8,0.61,0.9099999999999999,0.3370124523855974
100% Corpus,8,0.61,symmetric,0.33494649452062863
100% Corpus,8,0.9099999999999999,0.01,0.31941821945744453
100% Corpus,8,0.9099999999999999,0.31,0.31523581165880565
100% Corpus,8,0.9099999999999999,0.61,0.31885373440938586
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.32877610907446075
100% Corpus,8,0.9099999999999999,symmetric,0.3294789820898196
100% Corpus,8,symmetric,0.01,0.3581772969696386
100% Corpus,8,symmetric,0.31,0.3419431640053072
100% Corpus,8,symmetric,0.61,0.33398673192066375
100% Corpus,8,symmetric,0.9099999999999999,0.339428461786803
100% Corpus,8,symmetric,symmetric,0.3251551067966247
100% Corpus,8,asymmetric,0.01,0.331781765124816
100% Corpus,8,asymmetric,0.31,0.34714136544386165
100% Corpus,8,asymmetric,0.61,0.34750871592792965
100% Corpus,8,asymmetric,0.9099999999999999,0.31249757437625914
100% Corpus,8,asymmetric,symmetric,0.3229270374287465
100% Corpus,9,0.01,0.01,0.3504495693262143
100% Corpus,9,0.01,0.31,0.34671445214089414
100% Corpus,9,0.01,0.61,0.32514885060453863
100% Corpus,9,0.01,0.9099999999999999,0.3614758994373649
100% Corpus,9,0.01,symmetric,0.3439154028466549
100% Corpus,9,0.31,0.01,0.36548388360526807
100% Corpus,9,0.31,0.31,0.3586580828290307
